"ATTAINS.parameter","CST.pollutant","CST.std.pollutant"
"ALDRIN","aldrin","aldrin"
"ALKALINITY","alkalinity","alkalinity"
"1,4-DICHLOROBENZENE","1,4-dichlorobenzene","1,4-dichlorobenzene"
"2,4,6-TRICHLOROPHENOL","2,4,6-trichlorophenol","2,4,6-trichlorophenol"
"2,4-DICHLOROPHENOL","2,4-dichlorophenol","2,4-dichlorophenol"
"2,4-DIMETHYLPHENOL","2,4-dimethylphenol","2,4-dimethylphenol"
"2,4-DINITROPHENOL","2,4-dinitrophenol","2,4-dinitrophenol"
"2,4-DINITROTOLUENE","2,4-dinitrotoluene","2,4-dinitrotoluene"
"2-CHLORONAPHTHALENE","2-chloronaphthalene","2-chloronaphthalene"
"2-CHLOROPHENOL","2-chlorophenol","2-chlorophenol"
"4,4'-DDD","4,4'-ddd","p,p'-dichlorodiphenyldichloroethane (ddd)"
"4,4'-DDE","4,4'-dde","p,p'-dichlorodiphenyldichloroethylene (dde)"
"ACENAPHTHENE","acenaphthene","acenaphthene"
"ACENAPHTHYLENE","acenaphthylene","acenaphthylene"
"ACROLEIN","acrolein","acrolein"
"ACRYLONITRILE","acrylonitrile","acrylonitrile"
"SILVER","silver","silver"
"SODIUM","sodium","sodium"
"TETRACHLOROETHYLENE","tetrachloroethylene","tetrachloroethylene"
"THALLIUM","thallium","thallium"
"TOLUENE","toluene","toluene"
"TOXAPHENE","toxaphene","toxaphene"
"TRICHLOROETHYLENE (TCE)","trichloroethylene (tce)","trichloroethylene"
"VINYL CHLORIDE","vinyl chloride","vinyl chloride"
"ZINC","zinc","zinc"
"CADMIUM","cadmium","cadmium"
"CARBON TETRACHLORIDE","carbon tetrachloride","carbon tetrachloride"
"CHLORDANE","chlordane","chlordane"
"CHLORIDE","chloride","chloride"
"ISOPHORONE","isophorone","isophorone"
"LEAD","lead","lead"
"MERCURY","mercury","mercury"
"METHYL CHLORIDE","methyl chloride","methyl chloride"
"METHYLENE CHLORIDE","methylene chloride","methylene chloride"
"3,3'-DICHLOROBENZIDINE","3,3'-dichlorobenzidine","3,3'-dichlorobenzidine"
"BARIUM","barium","barium"
"CHLOROFORM","chloroform","trihalomethanes"
"BERYLLIUM","beryllium","beryllium"
"BORON","boron","boron"
"CHRYSENE","chrysene","chrysene"
"COPPER","copper","copper"
"CYANIDE","cyanide","cyanide"
"DEMETON","demeton","demeton"
"BUTYL BENZYL PHTHALATE","butyl benzyl phthalate","butyl benzyl phthalate"
"ALUMINUM","aluminum","aluminum"
"AMMONIA","ammonia","ammonia"
"NAPHTHALENE","naphthalene","naphthalene"
"NICKEL","nickel","nickel"
"NITROBENZENE","nitrobenzene","nitrobenzene"
"N-NITROSODIMETHYLAMINE","n-nitrosodimethylamine","n-nitrosodimethylamine"
"N-NITROSODIPHENYLAMINE","n-nitrosodiphenylamine","n-nitrosodiphenylamine"
"DISSOLVED OXYGEN","dissolved oxygen","dissolved oxygen"
"ANTHRACENE","anthracene","anthracene"
"ANTIMONY","antimony","antimony"
"ARSENIC","arsenic","arsenic"
"ASBESTOS","asbestos","asbestos"
"BENZENE","benzene","benzene"
"BENZIDINE","benzidine","benzidine"
"BIS(2-CHLOROISOPROPYL) ETHER","bis(2-chloroisopropyl) ether","bis(2-chloro-1-methylethyl) ether"
"BIS(2-ETHYLHEXYL) PHTHALATE","bis(2-ethylhexyl) phthalate","bis(2-ethylhexyl) phthalate"
"BROMOFORM","bromoform","bromoform"
"1,1,2,2-TETRACHLOROETHANE","1,1,2,2-tetrachloroethane","1,1,2,2-tetrachloroethane"
