"WQP.characteristic","ATTAINS.parameter"
"1,1,1,2-Tetrachloroethane","1,1,1,2-TETRACHLOROETHANE"
"1,1,1-Trichloroethane","1,1,1-TRICHLOROETHANE"
"1,1,2,2-Tetrachloroethane","1,1,2,2-TETRACHLOROETHANE"
"1,1,2-Trichloroethane","1,1,2-TRICHLOROETHANE"
"1,1-Dichloroethane","1,1-DICHLOROETHANE"
"1,1-Dichloroethylene","1,1-DICHLOROETHYLENE"
"1,1-Dichloropropene","1,1-DICHLOROPROPENE"
"1,2,3,4-Tetrachlorobenzene","1,2,3,4-TETRACHLOROBENZENE"
"1,2,3-Trichlorobenzene","1,2,3-TRICHLOROBENZENE"
"1,2,3-Trichloropropane","1,2,3-TRICHLOROPROPANE"
"1,2,4,5-Tetrachlorobenzene","1,2,4,5-TETRACHLOROBENZENE"
"1,2,4-Trichlorobenzene","1,2,4-TRICHLOROBENZENE"
"1,2,4-Trimethylbenzene","1,2,4-TRIMETHYLBENZENE"
"1,2-Dibromo-3-chloropropane","1,2-DIBROMO-3-CHLOROPROPANE"
"1,2-Dichloroethane","1,2-DICHLOROETHANE"
"1,2-Dichloroethylene","1,2-DICHLOROETHYLENE"
"1,2-Dichloropropane","1,2-DICHLOROPROPANE"
"1,2-Diphenylhydrazine","1,2-DIPHENYLHYDRAZINE"
"1,3,5-Trimethylbenzene","1,3,5-TRIMETHYLBENZENE"
"1,3-Butadiene","1,3-BUTADIENE"
"1,3-Dichlorobenzene","1,3-DICHLOROBENZENE"
"1,3-Dichloropropane","1,3-DICHLOROPROPANE"
"1,3-Dichloropropene","1,3-DICHLOROPROPENE"
"1,4-Dioxane","1,4-DIOXANE"
"1,6,7-Trimethylnaphthalene","1,6,7-TRIMETHYLNAPHTHALENE"
"1-Methylnaphthalene","1-METHYLNAPHTHALENE"
"1-Methylphenanthrene","1-METHYLPHENANTHRENE"
"2,2-Dichloropropane","2,2-DICHLOROPROPANE"
"2,3,4,6-Tetrachlorophenol","2,3,4,6-TETRACHLOROPHENOL"
"2,3,5,6-Tetrachlorophenol","2,3,5,6-TETRACHLOROPHENOL"
"2,3,7,8-Tetrachlorodibenzofuran","2,3,7,8-TETRACHLORODIBENZOFURAN"
"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN"
"2,3-Dichloropropene","2,3-DICHLOROPROPENE"
"2,4,5-Trichlorophenol","2,4,5-TRICHLOROPHENOL"
"2,4,6-Trichlorophenol","2,4,6-TRICHLOROPHENOL"
"2,4-Dichlorophenol","2,4-DICHLOROPHENOL"
"2,4-Dimethylphenol","2,4-DIMETHYLPHENOL"
"2,4-Dinitrophenol","2,4-DINITROPHENOL"
"2,4-Dinitrotoluene","2,4-DINITROTOLUENE"
"2,5-Dichlorophenol","2,5-DICHLOROPHENOL"
"2,6-Diethylaniline","2,6-DIETHYLANILINE"
"2,6-Dimethylnaphthalene","2,6-DIMETHYLNAPHTHALENE"
"2,6-Dinitrotoluene","2,6-DINITROTOLUENE"
"2-Acetylaminofluorene","2-ACETYLAMINOFLUORENE"
"2-Chloro-4,6-diamino-s-triazine","2-CHLORO-4,6-DIAMINO-S-TRIAZINE"
"2-Chloro-4-isopropylamino-6-amino-s-triazine","2-CHLORO-4-ISOPROPYLAMINO-6-AMINO-S-TRIAZINE"
"2-Chloroethyl vinyl ether","2-CHLOROETHYL VINYL ETHER"
"2-Chloronaphthalene","2-CHLORONAPHTHALENE"
"2-Choro-6-ethylamino-4-amino-s-triazine","2-CHORO-6-ETHYLAMINO-4-AMINO-S-TRIAZINE"
"2-Ethoxyethanol","2-ETHOXYETHANOL"
"2-Hexanone","2-HEXANONE"
"2-Hydroxyatrazine","2-HYDROXYATRAZINE"
"2-Methylnaphthalene","2-METHYLNAPHTHALENE"
"2-Methylpyridine","2-METHYLPYRIDINE"
"3,3'-Dichlorobenzidine","3,3'-DICHLOROBENZIDINE"
"3,3'-Dimethoxybenzidine","3,3'-DIMETHOXYBENZIDINE"
"3,3'-Dimethylbenzidine","3,3'-DIMETHYLBENZIDINE"
"3,4-Dichlorophenol","3,4-DICHLOROPHENOL"
"3-Hydroxycarbofuran","3-HYDROXYCARBOFURAN"
"3-Ketocarbofuran","3-KETOCARBOFURAN"
"4,4'-Isopropylidenediphenol","4,4'-ISOPROPYLIDENEDIPHENOL"
"4,6-Dinitro-o-cresol","4,6-DINITRO-O-CRESOL"
"4-Aminobiphenyl","4-AMINOBIPHENYL"
"4-Dimethylaminoazobenzene","4-DIMETHYLAMINOAZOBENZENE"
"Abamectin","ABAMECTIN"
"Acenaphthene","ACENAPHTHENE"
"Acenaphthylene","ACENAPHTHYLENE"
"Acetaldehyde","ACETALDEHYDE"
"Acetaminophen","ACETAMINOPHEN"
"Acetamiprid","ACETAMIPRID"
"Acetochlor","ACETOCHLOR"
"Acetone","ACETONE"
"Acetonitrile","ACETONITRILE"
"Acibenzolar-S-methyl","ACIBENZOLAR-S-METHYL"
"Acifluorfen","ACIFLUORFEN"
"Acrolein","ACROLEIN"
"Acrylamide","ACRYLAMIDE"
"Acrylonitrile","ACRYLONITRILE"
"Alachlor","ALACHLOR"
"Alachlor OA","ALACHLOR OA"
"Aldicarb","ALDICARB"
"Aldicarb sulfone","ALDICARB SULFONE"
"Aldicarb sulfoxide","ALDICARB SULFOXIDE"
"Aldrin","ALDRIN"
"Alkalinity","ALKALINITY"
"Allethrin","ALLETHRIN"
"Allyl chloride","ALLYL CHLORIDE"
