"Characteristic","unique(paramUse$ENTITY_ABBR)","CRITERION_VALUE","UNIT_NAME","CRITERIATYPEAQUAHUMHLTH","CRITERIATYPEFRESHSALTWATER","CRITERIATYPE_ACUTECHRONIC","USE_CLASS_NAME_LOCATION_ETC","ATTAINS_USE_NAME"
"arsenic","304A","340","µg/l","A","F","A","AQUATIC LIFE",NA
"arsenic","304A","150","µg/l","A","F","C","AQUATIC LIFE",NA
"arsenic","304A","69","µg/l","A","S","A","AQUATIC LIFE",NA
"arsenic","304A","36","µg/l","A","S","C","AQUATIC LIFE",NA
"arsenic","304A","0.018","µg/l","H",NA,NA,"HUMAN HEALTH",NA
"arsenic","304A","0.14","µg/l","H",NA,NA,"HUMAN HEALTH",NA
"arsenic","ACO","20.5","µg/l","H",NA,NA,"FISH CONSUMPTION",NA
"arsenic","ACO","0.01","mg/l",NA,NA,NA,"DOMESTIC WATER SOURCE (DWS) AND GROUNDWATER RECHARGE (GWR)",NA
"arsenic","ACO","0.10","mg/l",NA,NA,NA,"AGRICULTURAL IRRIGATION (AGI)",NA
"arsenic","ACO","0.20","mg/l",NA,NA,NA,"AGRICULTURAL LIVESTOCK WATERING (AGL)",NA
"arsenic","ACO","0.01","mg/l",NA,NA,NA,"PRIMARY CONTACT RECREATION (PCR)",NA
"arsenic","ACO","340","µg/l","A","F","A","SURFACE WATERS",NA
"arsenic","ACO","150","µg/l","A","F","C","SURFACE WATERS",NA
"arsenic","AK","10","µg/l","H",NA,NA,"DRINKING WATER MCL {WATER SUPPLY (DRINKING, CULINARY AND FOOD PROCESSING); CONTACT RECREATION}",NA
"arsenic","AK","36","µg/l","A","S","C","AQUATIC LIFE CRITERIA FOR MARINE WATERS {WATER SUPPLY (AQUACULTURE); WATER SUPPLY (SEAFOOD PROCESSING); GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE, AND WILDLIFE}",NA
"arsenic","AK","150","µg/l","A","F","C","AQUATIC LIFE CRITERIA FOR FRESH WATERS {WATER SUPPLY (AQUACULTURE); GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE, AND WILDLIFE}",NA
"arsenic","AK","100","µg/l",NA,NA,NA,"IRRIGATION WATER {WATER SUPPLY (AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING)}",NA
"arsenic","AK","69","µg/l","A","S","A","AQUATIC LIFE CRITERIA FOR MARINE WATERS {WATER SUPPLY (AQUACULTURE); WATER SUPPLY (SEAFOOD PROCESSING); GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE, AND WILDLIFE}",NA
"arsenic","AK","340","µg/l","A","F","A","AQUATIC LIFE CRITERIA FOR FRESH WATERS {WATER SUPPLY (AQUACULTURE); GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE, AND WILDLIFE}",NA
"arsenic","AK","50","µg/l",NA,NA,NA,"STOCKWATER {WATER SUPPLY (AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING)}",NA
"arsenic","AK","36","µg/l",NA,NA,"C","COOK INLET",NA
"arsenic","AK","69","µg/l",NA,NA,"A","COOK INLET",NA
"arsenic","AL","See equation","µg/l","H",NA,NA,"TOXIC POLLUTANT CRITERIA - STATE WATERS",NA
"arsenic","AL","See equation","µg/l","H",NA,NA,"TOXIC POLLUTANT CRITERIA - STATE WATERS",NA
"arsenic","AL","36","µg/l","A","S","C","TOXIC POLLUTANT CRITERIA - STATE WATERS",NA
"arsenic","AL","69","µg/l","A","S","A","TOXIC POLLUTANT CRITERIA - STATE WATERS",NA
"arsenic","AL","150","µg/l","A","F","C","TOXIC POLLUTANT CRITERIA - STATE WATERS",NA
"arsenic","AL","340","µg/l","A","F","A","TOXIC POLLUTANT CRITERIA - STATE WATERS",NA
"arsenic","AR",NA,NA,NA,NA,NA,NA,NA
"arsenic","AS","10","µg/l","H","F",NA,"ALL TERRITORIAL AND GROUND WATERS",NA
"arsenic","ASFP","100","µg/l",NA,NA,NA,"IRRIGATION AGIRCULTURAL USE",NA
"arsenic","ASFP","340","µg/l","A",NA,NA,"SURFACE WATERS",NA
"arsenic","ASFP","150","µg/l","A",NA,NA,"SURFACE WATERS",NA
"arsenic","ASFP","0.018","µg/l","H",NA,NA,"SURFACE WATERS",NA
"arsenic","ASFP","0.14","µg/l","H",NA,NA,"SURFACE WATERS",NA
"arsenic","AZ","2000","µg/l",NA,NA,NA,"AGRICULTURAL IRRIGATION (AGI)","AGRICULTURAL IRRIGATION"
"arsenic","AZ","200","µg/l",NA,NA,NA,"AGRICULTURAL LIVESTOCK WATERING (AGL)","LIVESTOCK WATERING"
"arsenic","AZ","200","µg/l",NA,NA,NA,"AGRICULTURAL LIVESTOCK WATERING (AGL)","AGRICULTURAL LIVESTOCK WATERING"
"arsenic","AZ","150","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (COLD WATER) (A&WC)","AQUATIC AND WILDLIFE"
"arsenic","AZ","340","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (COLD WATER) (A&WC)","AQUATIC AND WILDLIFE"
"arsenic","AZ","150","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW)","AQUATIC AND WILDLIFE (EFFLUENT DEPENDENT WATER)"
"arsenic","AZ","150","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW)","EFFLUENT DEPENDENT WATER"
"arsenic","AZ","150","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW)","AQUATIC AND WILDLIFE"
"arsenic","AZ","340","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW)","AQUATIC AND WILDLIFE (EFFLUENT DEPENDENT WATER)"
"arsenic","AZ","340","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW)","EFFLUENT DEPENDENT WATER"
"arsenic","AZ","340","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW)","AQUATIC AND WILDLIFE"
"arsenic","AZ","440","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (EPHEMERAL) (A&WE)","AQUATIC AND WILDLIFE (EPHEMERAL)"
"arsenic","AZ","440","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (EPHEMERAL) (A&WE)","AQUATIC AND WILDLIFE"
"arsenic","AZ","150","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (WARM WATER) (A&WW)","AQUATIC AND WILDLIFE"
"arsenic","AZ","340","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (WARM WATER) (A&WW)","AQUATIC AND WILDLIFE"
"arsenic","AZ","10","µg/l","H",NA,NA,"DOMESTIC WATER SOURCE (DWS)","DOMESTIC WATER SOURCE"
"arsenic","AZ","80","µg/l","H",NA,NA,"FISH CONSUMPTION (FC)","FISH CONSUMPTION"
"arsenic","AZ","30","µg/l","H",NA,NA,"FULL-BODY CONTACT (FBC)","FULL BODY CONTACT"
"arsenic","AZ","280","µg/l","H",NA,NA,"PARTIAL-BODY CONTACT (PBC)","PARTIAL BODY CONTACT"
"arsenic","BPP","0.05","mg/l",NA,NA,NA,"MUNICIPAL AND DOMESTIC SUPPLY",NA
"arsenic","BPT","10","µg/l","H",NA,NA,"SURFACE WATERS",NA
"arsenic","BPT","10","µg/l","H","F",NA,"GROUNDWATER DESIGNATED AS MUNICIPAL AND DOMESTIC SUPPLY (MUN)",NA
"arsenic","BRBCHP",NA,NA,NA,NA,NA,NA,NA
"arsenic","CA","8","µg/l","A","S",NA,"OCEAN WATERS",NA
"arsenic","CA","32","µg/l","A","S",NA,"OCEAN WATERS",NA
"arsenic","CA","80","µg/l","A","S",NA,"OCEAN WATERS",NA
"arsenic","CA1","0.05","mg/l","H",NA,NA,"MUNICIPAL OR DOMESTIC SUPPLY",NA
"arsenic","CA2","0.1","mg/l",NA,NA,NA,"AGRICULTURAL SUPPLY",NA
"arsenic","CA2","0.2","mg/l",NA,NA,NA,"AGRICULTURAL SUPPLY",NA
