"ENTITY_ABBR.x","CST_USE_NAME","ENTITY_ABBR.y","ATTAINS_USE_NAME","USE_NAME_UNLISTED"
"DE","PRIMARY CONTACT RECREATION MARINE WATERS","DE","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
"DE","PRIMARY CONTACT RECREATION FRESH WATERS","DE","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"CT","SECONDARY CONTACT (RECR)","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*(RECR)).*$"
NA,NA,"CC","DOMESTIC WATER SUPPLY WATERS","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY)(?=.*WATERS).*$"
NA,NA,"CA","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"AK","FRESH WATER; WATER SUPPLY; AQUACULTURE","^(?=.*FRESH)(?=.*WATER;)(?=.*WATER)(?=.*SUPPLY;)(?=.*AQUACULTURE).*$"
NA,NA,"ME","HYDROELECTRIC POWER GENERATION","^(?=.*HYDROELECTRIC)(?=.*POWER)(?=.*GENERATION).*$"
NA,NA,"NM","OUTSTANDING TRIBAL RESOURCE WATERS","^(?=.*OUTSTANDING)(?=.*TRIBAL)(?=.*RESOURCE)(?=.*WATERS).*$"
NA,NA,"OR","WILDLIFE AND HUNTING","^(?=.*WILDLIFE)(?=.*AND)(?=.*HUNTING).*$"
"MI","PUBLIC WATER SUPPLY (EXCEPT FOR THE GREAT LAKES AND CONNECTING WATERS)","MI","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
"MI","PUBLIC WATER SUPPLY","MI","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"AZ","DOMESTIC WATER SUPPLY","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY).*$"
"MD","CLASS IV WATERS — RECREATIONAL TROUT WATERS","MD","TROUT WATER","^(?=.*TROUT)(?=.*WATER).*$"
